t,kl,tr_elbo,tr_acc,tr_ll,tr_time,te_acc_mcvi,te_time_mcvi,te_acc_dvi,te_acc_samples,te_time_dvi
0,0.0,-0.1987771095395088,0.94275,-0.1987771095395088,124.03373789787292,0.9629592651757188,117.23988604545593,0.963158945686901,0.8452476038338658,12.633487939834595
1,0.0,-0.089141436145703,0.9742666666666666,-0.089141436145703,123.50497317314148,0.9717452076677316,122.6213948726654,0.9719448881789138,0.8339656549520766,11.75954008102417
2,0.0,-0.06632873362501462,0.9806666666666667,-0.06632873362501462,120.90227198600769,0.9712460063897763,113.05438590049744,0.9712460063897763,0.8135982428115016,11.54727292060852
3,0.0,-0.04980458764632543,0.98525,-0.04980458764632543,118.55391502380371,0.9734424920127795,112.55081415176392,0.9733426517571885,0.8298722044728435,11.407593011856079
4,0.0,-0.040307602234681446,0.9877333333333334,-0.040307602234681446,120.24911189079285,0.9778354632587859,124.04826188087463,0.978035143769968,0.8206869009584664,11.878137111663818
5,0.0,-0.034117887729406354,0.9897166666666667,-0.034117887729406354,120.84114623069763,0.9754392971246006,113.93507409095764,0.9755391373801917,0.8127995207667732,11.68439793586731
6,0.0,-0.030665891156593957,0.9911833333333333,-0.030665891156593957,115.45914912223816,0.9759384984025559,111.76400399208069,0.9762380191693291,0.796026357827476,10.95439887046814
7,0.0,-0.02702288162112236,0.9922666666666666,-0.02702288162112236,115.55275177955627,0.9741413738019169,115.68203020095825,0.9744408945686901,0.7989217252396166,11.790021181106567
8,0.0,-0.023083172474304834,0.9933666666666666,-0.023083172474304834,115.77168321609497,0.9755391373801917,112.82185173034668,0.976138178913738,0.7771565495207667,10.944825172424316
9,0.0,-0.022138167981306713,0.9940833333333333,-0.022138167981306713,122.86008405685425,0.977935303514377,112.58435320854187,0.977935303514377,0.7894369009584664,11.870969772338867
10,0.0,-0.0195267671306928,0.9946166666666667,-0.0195267671306928,116.28580522537231,0.9800319488817891,111.06086111068726,0.9802316293929713,0.7949281150159745,10.483566999435425
11,0.0,-0.023322439793745677,0.9938,-0.023322439793745677,112.0834093093872,0.9770367412140575,112.37219405174255,0.9771365814696485,0.7898362619808307,11.265529155731201
12,0.0,-0.017172080689668655,0.99555,-0.017172080689668655,115.66035199165344,0.9737420127795527,113.97132897377014,0.9735423322683706,0.7877396166134185,12.089568138122559
13,0.0,-0.018031287042299907,0.9950666666666667,-0.018031287042299907,115.50322413444519,0.9752396166134185,110.87650394439697,0.9750399361022364,0.8187899361022364,11.042770862579346
14,0.0,-0.01673230347832044,0.9954666666666667,-0.01673230347832044,114.94327282905579,0.9773362619808307,112.51786708831787,0.9773362619808307,0.797723642172524,11.829815864562988
15,0.0,-0.015081039716800054,0.9961,-0.015081039716800054,116.38962197303772,0.9772364217252396,114.65192914009094,0.9774361022364217,0.8274760383386581,12.592458009719849
16,0.0,-0.016230352542797723,0.9961833333333333,-0.016230352542797723,119.75935578346252,0.9784345047923323,122.90758299827576,0.9783346645367412,0.7956269968051118,11.947687864303589
17,0.0,-0.01382305881579717,0.9963166666666666,-0.01382305881579717,121.17524003982544,0.976138178913738,115.57715630531311,0.9757388178913738,0.7986222044728435,12.451176881790161
18,0.0,-0.01422117419540882,0.9960833333333333,-0.01422117419540882,125.86620473861694,0.9751397763578274,130.46853399276733,0.9753394568690096,0.8024161341853036,15.11397409439087
19,0.0,-0.013630409422516823,0.9968166666666667,-0.013630409422516823,118.36665797233582,0.979632587859425,113.65312695503235,0.9794329073482428,0.7934305111821086,11.412090301513672
20,0.0,-0.01646712651401758,0.996,-0.01646712651401758,111.88236713409424,0.9784345047923323,106.59999799728394,0.9782348242811502,0.7890375399361023,12.88003921508789
21,0.0,-0.014598450738191604,0.9964666666666666,-0.014598450738191604,113.02303194999695,0.9783346645367412,109.46552920341492,0.9783346645367412,0.795826677316294,10.836368799209595
22,0.0,-0.014654422839482626,0.9968833333333333,-0.014654422839482626,110.07784914970398,0.979632587859425,123.04748892784119,0.979632587859425,0.7880391373801917,10.964123964309692
23,0.0,-0.013542385629812876,0.9967833333333334,-0.013542385629812876,129.97198009490967,0.9786341853035144,108.84032320976257,0.9783346645367412,0.7774560702875399,10.624661922454834
24,0.0,-0.011575471691290537,0.99705,-0.011575471691290537,110.57786798477173,0.9804313099041534,109.65645599365234,0.9806309904153354,0.805111821086262,10.813377857208252
25,0.0,-0.012809058411916097,0.9972666666666666,-0.012809058411916097,111.57274913787842,0.9782348242811502,107.29493188858032,0.9782348242811502,0.803214856230032,10.830401182174683
26,0.0,-0.01458873780866464,0.9968333333333333,-0.01458873780866464,111.82188296318054,0.9774361022364217,109.87756299972534,0.9775359424920128,0.7975239616613419,10.794137001037598
27,0.0,-0.012158109302818776,0.9976666666666667,-0.012158109302818776,111.65075087547302,0.977935303514377,109.88147115707397,0.9777356230031949,0.8048123003194888,10.57689094543457
28,0.0,-0.012374692608416081,0.9973,-0.012374692608416081,110.67113709449768,0.9800319488817891,105.1162371635437,0.9803314696485623,0.8029153354632588,12.222585201263428
29,0.0,-0.010942479276408752,0.9977833333333334,-0.010942479276408752,112.35104298591614,0.979632587859425,109.18138694763184,0.9795327476038339,0.8095047923322684,11.01301121711731
30,0.0,-0.013094578522443771,0.9976,-0.013094578522443771,113.56403398513794,0.9751397763578274,107.22796583175659,0.9752396166134185,0.7930311501597445,11.009520053863525
31,0.0,-0.013020423290133476,0.9970333333333333,-0.013020423290133476,114.81574296951294,0.9791333865814696,108.49517273902893,0.9789337060702875,0.7908346645367412,10.917052030563354
32,0.0,-0.00997419324318568,0.9979,-0.00997419324318568,111.92024898529053,0.9768370607028753,108.90797305107117,0.9769369009584664,0.7854432907348243,10.623344898223877
33,0.0,-0.012308860819538435,0.9973333333333333,-0.012308860819538435,110.83530783653259,0.9774361022364217,110.0252959728241,0.9772364217252396,0.7936301916932907,10.587714910507202
34,0.0,-0.01392161940013369,0.99735,-0.01392161940013369,111.96245002746582,0.9807308306709265,108.36542296409607,0.9805311501597445,0.7961261980830671,10.803223848342896
35,0.0,-0.01247567678540945,0.9979666666666667,-0.01247567678540945,111.18546509742737,0.977935303514377,109.82148098945618,0.9772364217252396,0.8109025559105432,11.595685958862305
36,0.0,-0.011695940116047859,0.9978333333333333,-0.011695940116047859,114.58087015151978,0.9792332268370607,107.94906282424927,0.9792332268370607,0.7936301916932907,11.351341247558594
37,0.0,-0.013309536603093147,0.9976,-0.013309536603093147,108.80483388900757,0.9792332268370607,107.77739191055298,0.9793330670926518,0.8049121405750799,10.271607160568237
38,0.0,-0.01426482229133447,0.9977833333333334,-0.01426482229133447,108.82430124282837,0.9789337060702875,109.83748936653137,0.9790335463258786,0.8159944089456869,10.38707184791565
39,0.0,-0.009523813887685537,0.9979666666666667,-0.009523813887685537,110.20478200912476,0.9800319488817891,105.6809720993042,0.979632587859425,0.8169928115015974,10.62376093864441
40,0.0,-0.012041815120478472,0.9977,-0.012041815120478472,110.90581011772156,0.979832268370607,107.85902810096741,0.9801317891373802,0.8269768370607029,10.466163873672485
41,0.0,-0.009355063162247339,0.9983,-0.009355063162247339,110.78424096107483,0.9805311501597445,107.5093641281128,0.9809305111821086,0.817991214057508,10.623651027679443
42,0.0,-0.013199046338597933,0.9976833333333334,-0.013199046338597933,106.11719703674316,0.9786341853035144,110.452388048172,0.9785343450479234,0.8284744408945687,10.557106971740723
43,0.0,-0.009432218179106713,0.9982666666666666,-0.009432218179106713,112.18113279342651,0.979632587859425,1025.9514281749725,0.9789337060702875,0.8201876996805112,11.049775123596191
44,0.0,-0.014260118187963963,0.9978333333333333,-0.014260118187963963,112.64419198036194,0.9809305111821086,106.2039098739624,0.9799321086261981,0.8249800319488818,10.692199230194092
45,0.0,-0.007963823093722264,0.99875,-0.007963823093722264,115.7775490283966,0.9797324281150159,182.94125390052795,0.9792332268370607,0.8201876996805112,11.284524202346802
46,0.0,-0.013530693739776811,0.998,-0.013530693739776811,215.67094779014587,0.979832268370607,112.72335886955261,0.979632587859425,0.8239816293929713,15.37931203842163
